No of Blocks,Label,Time
1,Benign,0.0088
3,Benign,0.0178
1,Malignant,0.0165
1,Benign,0.0056
5,Benign,0.0105
2,Malignant,0.0158
1,Benign,0.0054
1,Benign,0.0047
1,Malignant,0.0163
7,Malignant,0.0164
6,Malignant,0.0159
1,Benign,0.0053
1,Malignant,0.0046
6,Malignant,0.0159
1,Malignant,0.0053
1,Malignant,0.005
1,Benign,0.005
1,Malignant,0.0046
3,Benign,0.0163
7,Benign,0.0156
2,Malignant,0.0157
4,Malignant,0.0156
1,Benign,0.0049
7,Malignant,0.0161
3,Benign,0.0081
7,Malignant,0.0155
5,Benign,0.0164
1,Benign,0.0049
5,Benign,0.0098
1,Malignant,0.0043
1,Malignant,0.0043
1,Benign,0.0051
1,Benign,0.0054
2,Benign,0.0063
1,Benign,0.0048
3,Benign,0.0078
1,Malignant,0.0151
1,Malignant,0.0048
4,Benign,0.0155
1,Benign,0.005
7,Benign,0.0153
4,Malignant,0.0161
2,Malignant,0.0158
1,Malignant,0.0148
1,Benign,0.0052
3,Malignant,0.0154
1,Malignant,0.0049
2,Malignant,0.0155
1,Benign,0.0053
1,Malignant,0.0049
5,Malignant,0.0149
3,Malignant,0.015
2,Malignant,0.0066
1,Malignant,0.0045
3,Benign,0.0153
1,Malignant,0.0052
2,Malignant,0.0159
1,Malignant,0.0052
7,Malignant,0.0147
2,Malignant,0.0061
5,Benign,0.0161
2,Malignant,0.0069
2,Benign,0.017
1,Malignant,0.0155
1,Benign,0.0054
3,Malignant,0.0157
1,Benign,0.0051
2,Malignant,0.0067
2,Malignant,0.0149
7,Benign,0.0154
3,Malignant,0.0148
1,Benign,0.0049
3,Malignant,0.0148
3,Benign,0.0078
1,Benign,0.016
7,Benign,0.0177
2,Benign,0.0157
1,Benign,0.0053
3,Benign,0.0162
5,Malignant,0.0116
1,Benign,0.0056
1,Malignant,0.0051
1,Benign,0.0048
1,Benign,0.0047
1,Malignant,0.0053
1,Benign,0.0056
1,Benign,0.0047
1,Benign,0.0045
4,Malignant,0.0162
5,Malignant,0.0157
4,Malignant,0.0153
1,Benign,0.005
7,Malignant,0.0154
1,Benign,0.0058
3,Malignant,0.0164
3,Malignant,0.0085
2,Malignant,0.0072
3,Malignant,0.0157
2,Benign,0.0067
6,Benign,0.0163
1,Benign,0.0048
7,Malignant,0.0154
2,Benign,0.0167
2,Benign,0.0062
1,Malignant,0.0048
1,Malignant,0.0046
2,Benign,0.0062
1,Benign,0.0054
4,Benign,0.0152
3,Malignant,0.0151
3,Benign,0.0154
2,Malignant,0.015
1,Benign,0.0159
1,Benign,0.0048
4,Malignant,0.0148
4,Malignant,0.0149
2,Malignant,0.0075
1,Malignant,0.0058
1,Malignant,0.0151
2,Malignant,0.0154
2,Malignant,0.0156
1,Benign,0.0053
3,Benign,0.0149
6,Malignant,0.0158
3,Malignant,0.0079
6,Malignant,0.0148
1,Malignant,0.0152
7,Malignant,0.0157
1,Benign,0.0056
1,Malignant,0.0046
1,Benign,0.005
1,Malignant,0.0153
1,Benign,0.0049
1,Malignant,0.0053
1,Benign,0.0046
1,Benign,0.005
1,Benign,0.0047
2,Malignant,0.0153
1,Benign,0.0052
1,Malignant,0.0174
1,Benign,0.0051
2,Malignant,0.0144
2,Malignant,0.0154
5,Malignant,0.0111
1,Benign,0.0048
2,Benign,0.015
1,Benign,0.0056
6,Benign,0.0118
7,Malignant,0.0163
1,Malignant,0.0046
1,Malignant,0.0175
3,Benign,0.0156
1,Benign,0.005
2,Malignant,0.0157
1,Benign,0.0045
1,Malignant,0.016
5,Benign,0.0114
1,Malignant,0.0048
1,Benign,0.0054
1,Malignant,0.005
2,Benign,0.016
3,Malignant,0.0084
1,Benign,0.0045
3,Malignant,0.0158
7,Malignant,0.0159
2,Benign,0.0154
3,Benign,0.0155
3,Benign,0.0149
1,Benign,0.005
1,Benign,0.0047
7,Malignant,0.0145
7,Malignant,0.0156
1,Benign,0.0053
2,Malignant,0.0151
1,Benign,0.0051
1,Benign,0.005
3,Malignant,0.0151
1,Benign,0.0161
2,Malignant,0.016
1,Malignant,0.0146
6,Malignant,0.0149
1,Benign,0.0048
5,Malignant,0.0118
1,Benign,0.0051
7,Malignant,0.0156
1,Benign,0.0169
1,Benign,0.0053
1,Malignant,0.0184
7,Malignant,0.0165
3,Benign,0.016
3,Benign,0.015
5,Benign,0.0155
1,Malignant,0.0051
2,Malignant,0.0067
1,Benign,0.0051
1,Benign,0.0049
5,Malignant,0.0109
1,Benign,0.0047
1,Benign,0.0158
3,Malignant,0.0157
4,Benign,0.0157
1,Benign,0.0047
7,Benign,0.0173
5,Malignant,0.0157
2,Benign,0.0065
2,Benign,0.0164
2,Benign,0.0072
1,Malignant,0.016
1,Benign,0.0055
2,Benign,0.0163
1,Benign,0.0158
1,Malignant,0.0165
4,Benign,0.0161
1,Benign,0.0054
1,Malignant,0.0154
1,Benign,0.005
6,Malignant,0.0126
1,Benign,0.0048
1,Malignant,0.0049
1,Malignant,0.0171
1,Malignant,0.0198
1,Benign,0.0053
7,Malignant,0.0169
3,Benign,0.0153
2,Benign,0.0152
1,Benign,0.0048
5,Malignant,0.0161
5,Malignant,0.0126
7,Benign,0.0158
1,Malignant,0.017
4,Malignant,0.0174
1,Benign,0.0052
5,Malignant,0.0165
7,Benign,0.0169
1,Malignant,0.0052
2,Malignant,0.0165
3,Malignant,0.0085
1,Benign,0.0048
1,Malignant,0.0173
2,Malignant,0.0162
1,Malignant,0.0052
1,Benign,0.005
4,Benign,0.0158
1,Benign,0.0046
1,Benign,0.0051
2,Malignant,0.0171
3,Malignant,0.0081
7,Malignant,0.0172
1,Benign,0.005
5,Benign,0.0114
7,Malignant,0.0161
3,Malignant,0.0083
1,Malignant,0.0052
2,Malignant,0.0152
1,Malignant,0.0163
4,Benign,0.0173
1,Malignant,0.0061
1,Benign,0.0177
3,Benign,0.0086
1,Benign,0.0057
1,Malignant,0.0183
6,Benign,0.0178
2,Benign,0.0082
1,Benign,0.0057
4,Benign,0.0178
7,Malignant,0.019
4,Benign,0.0163
7,Benign,0.0147
5,Malignant,0.0114
7,Malignant,0.0151
1,Benign,0.0052
1,Benign,0.0053
7,Malignant,0.0154
2,Benign,0.0075
2,Malignant,0.0076
3,Malignant,0.0162
6,Benign,0.0164
1,Malignant,0.0056
2,Benign,0.0067
3,Benign,0.0159
4,Malignant,0.016
1,Benign,0.0054
1,Malignant,0.0044
1,Benign,0.016
5,Malignant,0.0154
3,Benign,0.0151
1,Malignant,0.0051
2,Malignant,0.0076
7,Malignant,0.02
1,Benign,0.0058
5,Benign,0.0175
7,Malignant,0.0168
1,Benign,0.0054
1,Malignant,0.005
2,Benign,0.0065
1,Benign,0.0056
1,Malignant,0.0155
1,Malignant,0.015
1,Malignant,0.005
1,Benign,0.005
2,Benign,0.0065
7,Malignant,0.0153
2,Benign,0.0068
1,Benign,0.0051
3,Benign,0.0087
5,Malignant,0.0167
7,Malignant,0.0157
5,Malignant,0.0155
4,Malignant,0.0087
1,Benign,0.0046
4,Benign,0.0152
1,Malignant,0.0051
2,Malignant,0.0154
1,Benign,0.005
4,Benign,0.016
1,Benign,0.0046
1,Malignant,0.0044
4,Malignant,0.0166
7,Benign,0.0161
5,Benign,0.0158
1,Benign,0.0051
1,Benign,0.0054
3,Malignant,0.016
1,Benign,0.0053
1,Benign,0.0051
2,Benign,0.0149
3,Benign,0.0153
2,Malignant,0.0161
1,Benign,0.0052
1,Benign,0.0051
1,Benign,0.0052
7,Malignant,0.0159
1,Benign,0.0156
5,Malignant,0.016
2,Malignant,0.0169
1,Benign,0.0046
3,Malignant,0.0155
1,Benign,0.0056
5,Benign,0.0119
3,Malignant,0.0154
1,Benign,0.0056
1,Malignant,0.0167
2,Benign,0.0068
7,Malignant,0.0168
5,Malignant,0.0111
3,Benign,0.0084
7,Malignant,0.0173
1,Malignant,0.0058
3,Malignant,0.0087
1,Malignant,0.0055
1,Benign,0.0052
1,Benign,0.0055
6,Malignant,0.0124
7,Malignant,0.0163
5,Benign,0.0163
5,Malignant,0.0153
2,Malignant,0.0066
3,Malignant,0.0078
1,Benign,0.0054
1,Malignant,0.0168
1,Malignant,0.0055
2,Malignant,0.0074
2,Malignant,0.0178
2,Benign,0.0159
1,Benign,0.005
1,Malignant,0.0056
7,Malignant,0.0167
1,Malignant,0.0169
7,Malignant,0.0166
1,Benign,0.0057
1,Malignant,0.0156
3,Benign,0.0157
1,Benign,0.005
5,Malignant,0.0164
5,Malignant,0.0151
1,Benign,0.0053
3,Benign,0.0167
3,Benign,0.0154
2,Malignant,0.0062
3,Benign,0.0162
1,Malignant,0.0054
1,Benign,0.0046
2,Malignant,0.0152
3,Malignant,0.0164
1,Malignant,0.0155
6,Benign,0.0162
5,Malignant,0.0152
3,Benign,0.0148
1,Benign,0.0155
1,Benign,0.0049
5,Malignant,0.0108
2,Malignant,0.0164
6,Malignant,0.0154
1,Malignant,0.0047
1,Malignant,0.0048
4,Malignant,0.0165
1,Benign,0.0053
5,Malignant,0.019
2,Malignant,0.0098
1,Malignant,0.0066
1,Benign,0.0056
7,Malignant,0.0185
2,Malignant,0.0172
3,Benign,0.0173
2,Malignant,0.0075
4,Benign,0.0164
1,Malignant,0.0165
2,Malignant,0.0067
1,Malignant,0.0052
2,Malignant,0.0067
3,Benign,0.0163
1,Malignant,0.016
3,Malignant,0.0156
2,Malignant,0.0158
3,Benign,0.0166
1,Benign,0.0163
7,Malignant,0.0171
4,Benign,0.0157
2,Malignant,0.0069
1,Benign,0.005
1,Benign,0.0049
1,Malignant,0.015
1,Benign,0.0044
4,Malignant,0.0094
1,Benign,0.0051
1,Benign,0.0163
2,Benign,0.0078
1,Malignant,0.0057
4,Malignant,0.017
1,Benign,0.0164
2,Malignant,0.0069
5,Malignant,0.0151
1,Benign,0.0047
1,Benign,0.0049
7,Benign,0.0156
1,Benign,0.005
1,Benign,0.0052
5,Benign,0.0168
1,Benign,0.0057
1,Malignant,0.0058
1,Benign,0.005
3,Benign,0.008
1,Malignant,0.0054
1,Benign,0.0058
3,Benign,0.008
6,Benign,0.0173
5,Malignant,0.0169
1,Benign,0.0055
4,Malignant,0.0166
1,Malignant,0.0063
7,Malignant,0.0167
1,Malignant,0.0055
7,Malignant,0.0163
1,Benign,0.0054
1,Benign,0.0051
3,Malignant,0.0161
2,Benign,0.0079
1,Malignant,0.0051
6,Benign,0.0157
6,Benign,0.0168
1,Malignant,0.0052
1,Malignant,0.0054
1,Malignant,0.0164
1,Benign,0.0057
3,Benign,0.0093
1,Malignant,0.0047
3,Benign,0.0154
5,Benign,0.0162
4,Malignant,0.0166
3,Malignant,0.0084
1,Benign,0.0051
1,Malignant,0.005
4,Malignant,0.0156
4,Malignant,0.0167
3,Benign,0.0079
6,Malignant,0.0152
2,Benign,0.0084
1,Benign,0.0053
5,Malignant,0.0106
2,Malignant,0.0158
1,Malignant,0.0054
6,Malignant,0.0156
3,Benign,0.0167
2,Benign,0.007
3,Malignant,0.0165
1,Benign,0.0057
1,Malignant,0.0053
2,Benign,0.007
5,Malignant,0.0112
4,Malignant,0.0105
1,Benign,0.0165
1,Malignant,0.0163
5,Benign,0.0156
1,Benign,0.005
1,Benign,0.0048
1,Malignant,0.0156
1,Benign,0.0163
1,Malignant,0.0173
2,Benign,0.007
7,Malignant,0.0164
7,Malignant,0.0159
1,Malignant,0.0178
1,Benign,0.0048
4,Malignant,0.015
6,Malignant,0.0158
1,Benign,0.0054
2,Malignant,0.0069
1,Benign,0.0167
1,Malignant,0.0048
1,Benign,0.005
5,Malignant,0.015
5,Malignant,0.0107
1,Benign,0.0159
1,Benign,0.0054
2,Malignant,0.0068
1,Malignant,0.0157
2,Benign,0.0074
1,Malignant,0.0155
2,Malignant,0.0073
5,Malignant,0.0159
1,Benign,0.0055
1,Benign,0.0056
2,Benign,0.0064
1,Malignant,0.0054
1,Benign,0.0051
3,Benign,0.018
3,Malignant,0.0156
5,Malignant,0.0162
1,Benign,0.005
2,Benign,0.0073
1,Malignant,0.0163
1,Benign,0.0053
1,Malignant,0.016
4,Benign,0.0163
4,Benign,0.0095
1,Benign,0.0054
7,Malignant,0.0155
1,Benign,0.0057
1,Benign,0.0155
2,Malignant,0.0071
1,Benign,0.0048
2,Malignant,0.0071
1,Malignant,0.005
5,Malignant,0.0154
1,Benign,0.0052
7,Benign,0.0167
2,Benign,0.0159
4,Malignant,0.0169
7,Malignant,0.0159
1,Malignant,0.0158
1,Benign,0.0048
1,Malignant,0.0051
4,Malignant,0.0162
6,Benign,0.0178
2,Benign,0.0067
7,Malignant,0.0161
1,Benign,0.0055
2,Benign,0.0074
3,Benign,0.0162
2,Benign,0.0074
2,Benign,0.017
1,Malignant,0.0052
3,Benign,0.0084
1,Benign,0.0046
7,Malignant,0.0163
1,Benign,0.0054
3,Malignant,0.0092
3,Benign,0.0171
2,Benign,0.0077
3,Benign,0.0152
3,Malignant,0.0089
5,Benign,0.0168
1,Benign,0.0058
1,Benign,0.0057
7,Malignant,0.0163
3,Benign,0.0171
1,Malignant,0.0053
6,Malignant,0.0151
1,Benign,0.0057
2,Malignant,0.0072
2,Malignant,0.0162
3,Benign,0.0168
7,Malignant,0.0166
2,Malignant,0.0165
7,Benign,0.0153
3,Malignant,0.0156
3,Malignant,0.0085
5,Benign,0.0167
1,Benign,0.0054
1,Malignant,0.0052
2,Benign,0.0069
1,Benign,0.0048
2,Malignant,0.0063
1,Benign,0.0044
4,Benign,0.0163
2,Malignant,0.0068
2,Benign,0.0073
1,Benign,0.0056
1,Benign,0.0049
3,Malignant,0.0168
1,Malignant,0.0054
2,Malignant,0.0168
2,Malignant,0.0074
2,Malignant,0.0076
5,Benign,0.0158
3,Benign,0.0099
1,Benign,0.0052
3,Malignant,0.015
2,Benign,0.0068
7,Malignant,0.0168
2,Malignant,0.0072
3,Benign,0.0165
1,Benign,0.0161
1,Malignant,0.0047
4,Malignant,0.0171
1,Malignant,0.0159
5,Benign,0.0162
2,Benign,0.0158
1,Benign,0.0048
2,Benign,0.0072
1,Benign,0.0054
1,Benign,0.0054
5,Malignant,0.0112
4,Benign,0.0159
7,Malignant,0.0173
2,Malignant,0.0074
2,Malignant,0.0168
3,Benign,0.0159
7,Benign,0.0155
1,Benign,0.0061
5,Malignant,0.0114
5,Benign,0.012
5,Malignant,0.0181
1,Malignant,0.0164
1,Malignant,0.0052
3,Benign,0.0086
2,Malignant,0.0074
7,Malignant,0.0157
5,Malignant,0.0163
4,Benign,0.0089
2,Benign,0.0076
1,Benign,0.0052
2,Malignant,0.007
4,Malignant,0.0159
1,Benign,0.0064
2,Malignant,0.0187
1,Malignant,0.0061
5,Benign,0.0209
6,Benign,0.0179
2,Benign,0.0075
1,Benign,0.0161
7,Benign,0.0168
2,Malignant,0.0066
1,Benign,0.0049
2,Benign,0.0065
1,Malignant,0.0159
3,Benign,0.0163
2,Malignant,0.0068
1,Benign,0.0057
4,Benign,0.0164
1,Malignant,0.0055
7,Malignant,0.0169
3,Malignant,0.0086
1,Malignant,0.0146
4,Benign,0.0158
1,Malignant,0.0054
1,Malignant,0.0048
7,Malignant,0.0157
3,Benign,0.0178
1,Benign,0.0048
7,Benign,0.0163
1,Malignant,0.0181
1,Benign,0.0164
7,Malignant,0.0149
1,Malignant,0.0051
1,Benign,0.0155
1,Benign,0.0051
1,Malignant,0.0056
1,Benign,0.0048
1,Malignant,0.0049
1,Malignant,0.0171
2,Malignant,0.0165
3,Benign,0.0078
6,Benign,0.0158
2,Malignant,0.0151
1,Malignant,0.0053
1,Malignant,0.0157
1,Benign,0.0046
5,Malignant,0.0113
3,Malignant,0.0082
2,Malignant,0.0065
1,Benign,0.0048
1,Benign,0.0052
2,Malignant,0.0158
1,Benign,0.0055
1,Benign,0.0043
1,Malignant,0.0055
1,Malignant,0.0172
1,Benign,0.0047
4,Malignant,0.0171
1,Malignant,0.0164
2,Malignant,0.0067
4,Malignant,0.016
7,Malignant,0.0158
3,Malignant,0.0082
1,Benign,0.0051
7,Malignant,0.0165
1,Benign,0.0054
1,Benign,0.0052
3,Malignant,0.0167
1,Benign,0.0052
4,Malignant,0.0168
3,Malignant,0.0169
3,Malignant,0.0078
1,Benign,0.0046
6,Malignant,0.0156
5,Malignant,0.0118
1,Benign,0.0058
1,Benign,0.0165
1,Malignant,0.016
1,Benign,0.0054
1,Benign,0.0047
4,Benign,0.0184
2,Malignant,0.0152
1,Benign,0.0053
1,Benign,0.0051
5,Malignant,0.0118
5,Malignant,0.016
4,Malignant,0.0162
1,Benign,0.0051
2,Malignant,0.0155
1,Benign,0.0047
7,Malignant,0.016
2,Malignant,0.0155
1,Benign,0.0046
5,Benign,0.0167
1,Malignant,0.0058
7,Benign,0.0166
1,Benign,0.0053
1,Benign,0.0052
6,Malignant,0.0161
2,Benign,0.0072
2,Benign,0.007
2,Benign,0.0165
1,Benign,0.0052
6,Benign,0.0166
1,Malignant,0.0053
4,Malignant,0.0151
1,Malignant,0.006
1,Benign,0.0054
7,Malignant,0.0169
4,Benign,0.017
1,Benign,0.0055
4,Benign,0.0157
7,Malignant,0.0173
1,Benign,0.0051
7,Malignant,0.0154
2,Malignant,0.0069
3,Malignant,0.016
1,Benign,0.0048
6,Malignant,0.0164
7,Benign,0.016
3,Malignant,0.0083
5,Malignant,0.0167
1,Benign,0.0051
2,Malignant,0.0161
3,Malignant,0.0088
5,Malignant,0.0166
6,Benign,0.0119
1,Benign,0.0048
2,Malignant,0.0164
1,Malignant,0.0156
5,Benign,0.012
2,Benign,0.0168
1,Benign,0.0055
1,Malignant,0.0052
3,Malignant,0.0157
2,Benign,0.0071
1,Benign,0.0055
4,Malignant,0.0163
1,Malignant,0.0048
1,Benign,0.0048
1,Malignant,0.0046
2,Benign,0.0071
3,Malignant,0.0175
4,Malignant,0.0097
1,Benign,0.0052
2,Malignant,0.0155
3,Benign,0.0163
1,Malignant,0.0051
3,Benign,0.0091
3,Malignant,0.008
1,Benign,0.0054
1,Benign,0.0052
7,Malignant,0.0164
7,Malignant,0.0166
1,Benign,0.0077
1,Benign,0.0054
